Floor,Room_No.,Room_Name,Room_Type_No.,Room_Type_Name,Area_m2,Volume_m3,Specific_Cooling_Demand_per_m2_W_per_m2,Specific_Cooling_Demand_per_Person_W_per_Pers,Additional_Internal_Loads_W,Total_Cooling_Load_kW,Cooling_Type,Cooling_Capacity_W,Cooling_Count,Total_Cooling_kW,Specific_Heating_Demand_per_m2_W_per_m2,Total_Heating_Load_kW,Heating_Type,Heating_Capacity_W,Heating_Count,Total_Heating_kW
OG3_OKRFB,D3 24,Sekretariat,2.0,Einzel-/Zweierbüros,8000.0,24450.0,50.0,0.0,0.0,0.0,400,1.0,40.0,0.0,40.0,32.0,H-K-Segel,320.0,1.0,32.0
OG3_OKRFB,D3 25,Installationsschacht,18.0,Schächte,8000.0,23250.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
OG3_OKRFB,D3 26,Etagenverteiler,13.0,Etagenverteiler,8000.0,23250.0,0.0,0.0,3.5,0.0,"3,500",1.0,350.0,0.0,0.0,0.0,,0.0,0.0,0.0
OG3_OKRFB,D3 27,Flur,6.0,"Verkehrsflächen, Flure",67000.0,202310.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
OG3_OKRFB,Mo3 01,Flur,17.0,Treppenhäuser/Magistrale,57000.0,170760.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,25.0,143.0,HK,1.43,1.0,143.0
OG3_OKRFB,Mo3 02,Diele,21.0,Diele,10000.0,28600.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,40.0,40.0,HK,400.0,1.0,40.0
OG3_OKRFB,Mo3 03,Aufzug,19.0,Aufzüge,9000.0,26160.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
OG3_OKRFB,Mo3 04,WC Frauen,8.0,WCs,3000.0,10050.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,30.0,9.0,,0.0,0.0,0.0
OG3_OKRFB,Mo3 05,Putzraum,10.0,Putzmittel/ Lager,2000.0,4750.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,15.0,3.0,,0.0,0.0,0.0
OG3_OKRFB,Mo3 06,WC Herren,8.0,WCs,2000.0,5300.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,30.0,6.0,HK,0.0,0.0,0.0
OG3_OKRFB,MO3 06.1,WC Herren,8.0,WCs,3000.0,9580.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,30.0,9.0,HK,150.0,1.0,15.0
OG3_OKRFB,Mw3 01/02,Treppe/Flur,17.0,Treppenhäuser/Magistrale,41000.0,122900.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,25.0,103.0,HK,1.03,1.0,103.0
OG3_OKRFB,Mw3 03,Installationsschacht,18.0,Schächte,3000.0,9280.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
OG3_OKRFB,Mw3 04,ELT,14.0,ELT-Schacht,3000.0,8750.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
OG4_OKRFB,D4 01/04/10,Social-Area/Flex-Work/Co-Work,1.0,Flex-/ Co-Work/,176000.0,527690.0,50.0,0.0,0.0,0.0,"8,800",1.0,880.0,0.0,40.0,704.0,H-K-Segel,7.04,1.0,704.0
OG4_OKRFB,D4 07,Flur,6.0,"Verkehrsflächen, Flure",67000.0,202310.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
OG4_OKRFB,D4 14,Wiss.Mitarbeiter,2.0,Einzel-/Zweierbüros,9000.0,25990.0,50.0,0.0,0.0,0.0,450,1.0,45.0,0.0,40.0,36.0,H-K-Segel,360.0,1.0,36.0
OG4_OKRFB,D4 15,Wiss.Mitarbeiter,2.0,Einzel-/Zweierbüros,9000.0,26550.0,50.0,0.0,0.0,0.0,450,1.0,45.0,0.0,40.0,36.0,H-K-Segel,360.0,1.0,36.0
OG4_OKRFB,D4 16,Wiss.Mitarbeiter,2.0,Einzel-/Zweierbüros,9000.0,26240.0,50.0,0.0,0.0,0.0,450,1.0,45.0,0.0,40.0,36.0,H-K-Segel,360.0,1.0,36.0
OG4_OKRFB,D4 17,Wiss.Mitarbeiter,2.0,Einzel-/Zweierbüros,9000.0,26550.0,50.0,0.0,0.0,0.0,450,1.0,45.0,0.0,40.0,36.0,H-K-Segel,360.0,1.0,36.0
